unique_id,num_votes,num_good_votes,classifiable_frac,extended_frac,dsk_frac,sph_frac,pec_frac,smooth_frac,class,confident,RA,DEC
egs11398,6.0,6.0,1.0,1.0,0.0,0.0,1.0,0.0,peculiar,True,214.8963487982,52.8391454745
egs11401,6.0,6.0,1.0,1.0,0.3333333333333333,0.5,0.1666666666666666,1.0,spheroid,False,214.8325616293,52.7945059835
egs11419,6.0,6.0,1.0,1.0,0.8333333333333334,0.0,0.1666666666666666,1.0,disk,False,214.9008064741,52.8435050902
egs11442,6.0,6.0,1.0,1.0,0.5,0.1666666666666666,0.3333333333333333,0.6666666666666666,disk,False,214.8937851897,52.8372371456
egs11453,6.0,6.0,1.0,1.0,0.6666666666666666,0.0,0.3333333333333333,1.0,disk,False,214.8522598092,52.809127724
egs11462,6.0,6.0,1.0,1.0,0.0,1.0,0.0,1.0,spheroid,True,214.9033705079,52.8455354306
egs11500,6.0,6.0,1.0,1.0,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,peculiar,False,214.830455951,52.7938272454
egs11519,6.0,6.0,1.0,1.0,0.1666666666666666,0.6666666666666666,0.1666666666666666,0.8333333333333334,spheroid,False,214.8905466762,52.8364195055
egs11550,6.0,6.0,1.0,1.0,0.3333333333333333,0.6666666666666666,0.0,1.0,spheroid,False,214.8345524652,52.7969421343
egs11557,6.0,6.0,1.0,1.0,0.1666666666666666,0.0,0.8333333333333334,0.3333333333333333,peculiar,False,214.8811292485,52.829609337
egs11576,6.0,6.0,1.0,1.0,1.0,0.0,0.0,0.1666666666666666,disk,True,214.8448843746,52.8032663182
egs11591,6.0,6.0,1.0,1.0,0.8333333333333334,0.0,0.1666666666666666,0.1666666666666666,disk,False,214.8391575998,52.7998950892
egs11592,6.0,6.0,1.0,1.0,0.1666666666666666,0.0,0.8333333333333334,0.1666666666666666,peculiar,False,214.8887186029,52.8352260976
egs11608,6.0,6.0,1.0,1.0,1.0,0.0,0.0,1.0,disk,True,214.8366908204,52.7987338384
egs11651,6.0,6.0,1.0,1.0,0.8333333333333334,0.1666666666666666,0.0,1.0,disk,False,214.8337532538,52.7968257662
egs11665,6.0,6.0,1.0,1.0,0.8333333333333334,0.0,0.1666666666666666,0.3333333333333333,disk,False,214.8315624299,52.7943845252
egs11682,6.0,6.0,1.0,1.0,0.3333333333333333,0.5,0.1666666666666666,1.0,spheroid,False,214.8532149509,52.8108228798
egs11685,6.0,6.0,1.0,1.0,0.8333333333333334,0.0,0.1666666666666666,0.1666666666666666,disk,False,214.8945954209,52.8393799452
egs11693,6.0,6.0,1.0,1.0,0.3333333333333333,0.1666666666666666,0.5,0.8333333333333334,peculiar,False,214.9159088743,52.8554455434
egs11705,6.0,6.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.8333333333333334,ambiguous,False,214.8622625151,52.8173878679
egs11726,6.0,6.0,1.0,1.0,0.1666666666666666,0.8333333333333334,0.0,1.0,spheroid,False,214.838653061,52.8004715476
egs11727,6.0,6.0,1.0,1.0,0.6666666666666666,0.3333333333333333,0.0,0.8333333333333334,disk,False,214.8932542512,52.8393220855
